Year,Spacecraft,Rocket Bodies,Mission-Related Debris,Fragmentation Debris,Unassigned Type,Debris,Total
1957,2.0,1.0,0.0,0.0,0.0,1.0,3.0
1958,5.0,2.0,1.0,0.0,0.0,3.0,8.0
1959,10.0,4.0,4.0,0.0,0.0,8.0,18.0
1960,22.0,12.0,19.0,0.0,0.0,31.0,53.0
1961,39.0,14.0,46.0,317.0,0.0,377.0,416.0
1962,61.0,33.0,66.0,335.0,0.0,434.0,495.0
1963,86.0,43.0,263.0,331.0,0.0,637.0,723.0
1964,130.0,66.0,338.0,331.0,0.0,735.0,865.0
1965,216.0,105.0,458.0,1048.0,0.0,1611.0,1827.0
1966,262.0,135.0,519.0,993.0,0.0,1647.0,1909.0
1967,319.0,170.0,585.0,936.0,0.0,1691.0,2010.0
1968,355.0,198.0,627.0,1153.0,0.0,1978.0,2333.0
1969,389.0,221.0,612.0,1395.0,0.0,2228.0,2617.0
1970,435.0,252.0,642.0,1913.0,0.0,2807.0,3242.0
1971,507.0,303.0,730.0,2014.0,0.0,3047.0,3554.0
1972,567.0,342.0,719.0,1943.0,0.0,3004.0,3571.0
1973,630.0,382.0,762.0,2157.0,0.0,3301.0,3931.0
1974,687.0,418.0,782.0,2134.0,0.0,3334.0,4021.0
1975,770.0,479.0,808.0,2661.0,0.0,3948.0,4718.0
1976,860.0,537.0,883.0,2957.0,0.0,4377.0,5237.0
1977,929.0,589.0,897.0,3341.0,0.0,4827.0,5756.0
1978,999.0,644.0,869.0,3291.0,0.0,4804.0,5803.0
1979,1026.0,662.0,875.0,3379.0,0.0,4916.0,5942.0
1980,1061.0,681.0,887.0,3327.0,0.0,4895.0,5956.0
1981,1126.0,708.0,915.0,3929.0,0.0,5552.0,6678.0
1982,1198.0,750.0,957.0,3945.0,0.0,5652.0,6850.0
1983,1277.0,811.0,1022.0,3953.0,0.0,5786.0,7063.0
1984,1373.0,870.0,1173.0,3905.0,0.0,5948.0,7321.0
1985,1466.0,938.0,1311.0,4434.0,0.0,6683.0,8149.0
1986,1546.0,984.0,1304.0,4891.0,0.0,7179.0,8725.0
1987,1626.0,1031.0,1314.0,5048.0,1.0,7394.0,9020.0
1988,1699.0,1066.0,1387.0,4724.0,1.0,7178.0,8877.0
1989,1748.0,1099.0,1428.0,4097.0,1.0,6625.0,8373.0
1990,1848.0,1152.0,1486.0,4008.0,1.0,6647.0,8495.0
1991,1921.0,1180.0,1499.0,4262.0,1.0,6942.0,8863.0
1992,1982.0,1234.0,1563.0,4522.0,1.0,7320.0,9302.0
1993,2044.0,1274.0,1589.0,4742.0,1.0,7606.0,9650.0
1994,2132.0,1323.0,1640.0,4763.0,1.0,7727.0,9859.0
1995,2196.0,1364.0,1665.0,4735.0,1.0,7765.0,9961.0
1996,2264.0,1401.0,1726.0,5450.0,1.0,8578.0,10842.0
1997,2384.0,1452.0,1720.0,5293.0,1.0,8466.0,10850.0
1998,2510.0,1467.0,1698.0,5255.0,1.0,8421.0,10931.0
1999,2606.0,1480.0,1682.0,5134.0,1.0,8297.0,10903.0
2000,2688.0,1500.0,1672.0,5281.0,1.0,8454.0,11142.0
2001,2721.0,1499.0,1649.0,5572.0,1.0,8721.0,11442.0
2002,2773.0,1498.0,1646.0,5291.0,1.0,8436.0,11209.0
2003,2832.0,1519.0,1655.0,5268.0,1.0,8443.0,11275.0
2004,2884.0,1540.0,1685.0,5324.0,1.0,8550.0,11434.0
2005,2929.0,1552.0,1703.0,5341.0,1.0,8597.0,11526.0
2006,2997.0,1583.0,1738.0,5567.0,1.0,8889.0,11886.0
2007,3074.0,1608.0,1769.0,9256.0,1.0,12634.0,15708.0
2008,3154.0,1641.0,1831.0,9367.0,1.0,12840.0,15994.0
2009,3247.0,1675.0,1879.0,11560.0,1.0,15115.0,18362.0
2010,3330.0,1712.0,1892.0,11614.0,1.0,15219.0,18549.0
2011,3414.0,1738.0,1921.0,11343.0,1.0,15003.0,18417.0
2012,3510.0,1763.0,1947.0,11141.0,1.0,14852.0,18362.0
2013,3676.0,1789.0,1972.0,10832.0,1.0,14594.0,18270.0
2014,3828.0,1819.0,1971.0,10517.0,1.0,14308.0,18136.0
2015,3978.0,1859.0,1967.0,10914.0,4.0,14744.0,18722.0
2016,4113.0,1888.0,1978.0,10868.0,4.0,14738.0,18851.0
2017,4511.0,1923.0,2000.0,10809.0,13.0,14745.0,19256.0
2018,4786.0,1985.0,2036.0,10925.0,70.0,15016.0,19802.0
2019,5133.0,2017.0,2058.0,11213.0,112.0,15400.0,20533.0
2020,6274.0,2039.0,2066.0,11796.0,112.0,16013.0,22287.0
2021,7866.0,2067.0,2071.0,13665.0,187.0,17990.0,25856.0
2022,9822.0,2109.0,2045.0,12760.0,310.0,17224.0,27046.0
2023,11881.0,2132.0,1962.0,11792.0,496.0,16382.0,28263.0
2024,13449.0,2136.0,1877.0,11791.0,621.0,16425.0,29874.0
