Date,Spacecraft,Rocket Bodies,Mission-Related Debris,Fragmentation Debris,Unassigned Type,Total,Year
1957.0,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.09,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.16,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.25,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.33,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.42,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.5,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.58,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.67,0.0,0.0,0.0,0.0,0.0,0.0,1957
1957.75,1.0,1.0,0.0,0.0,0.0,2.0,1957
1957.84,2.0,1.0,0.0,0.0,0.0,3.0,1957
1957.92,2.0,1.0,0.0,0.0,0.0,3.0,1957
1958.0,2.0,0.0,0.0,0.0,0.0,2.0,1958
1958.09,2.0,0.0,0.0,0.0,0.0,2.0,1958
1958.16,4.0,1.0,1.0,0.0,0.0,6.0,1958
1958.25,4.0,1.0,1.0,0.0,0.0,6.0,1958
1958.33,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.42,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.5,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.58,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.67,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.75,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.84,4.0,2.0,1.0,0.0,0.0,7.0,1958
1958.92,5.0,2.0,1.0,0.0,0.0,8.0,1958
1959.0,5.0,1.0,1.0,0.0,0.0,7.0,1959
1959.09,6.0,2.0,4.0,0.0,0.0,12.0,1959
1959.16,6.0,2.0,4.0,0.0,0.0,12.0,1959
1959.25,6.0,2.0,4.0,0.0,0.0,12.0,1959
1959.33,5.0,2.0,4.0,0.0,0.0,11.0,1959
1959.42,5.0,2.0,4.0,0.0,0.0,11.0,1959
1959.5,5.0,2.0,4.0,0.0,0.0,11.0,1959
1959.58,9.0,3.0,4.0,0.0,0.0,16.0,1959
1959.67,10.0,3.0,4.0,0.0,0.0,17.0,1959
